"date","rt"
2020-03-04,2.44769642013194
2020-03-05,2.40750251401825
2020-03-06,2.34710944766228
2020-03-07,2.15203843770491
2020-03-08,2.02386313822243
2020-03-09,1.69772601774691
2020-03-10,1.25897778324975
2020-03-11,1.07845285152549
2020-03-12,0.847443251782291
2020-03-13,0.738590247620207
2020-03-14,0.803574327481258
2020-03-15,0.78964881491648
2020-03-16,0.82392794754829
2020-03-17,0.786370233536633
2020-03-18,0.717253176430838
2020-03-19,0.638689587290774
2020-03-20,0.650816622063805
2020-03-21,0.782032677159433
2020-03-22,0.747779204901496
2020-03-23,0.76319479621937
2020-03-24,0.758697354840159
2020-03-25,0.720188431139282
2020-03-26,0.732154832010608
2020-03-27,0.757483353999312
2020-03-28,0.821921845218827
2020-03-29,0.784567974773297
2020-03-30,0.833218625080758
2020-03-31,0.907591279727764
2020-04-01,1.10450823066225
2020-04-02,1.1871166718336
2020-04-03,1.34041382259946
2020-04-04,1.55774564372137
2020-04-05,2.03064939372227
2020-04-06,2.27577440182701
2020-04-07,2.57303883801031
2020-04-08,2.43721078344322
2020-04-09,3.07429832296311
2020-04-10,3.09283343484799
2020-04-11,2.90141529249726
2020-04-12,3.77219514577358
2020-04-13,3.72201174518386
2020-04-14,3.66396049658636
2020-04-15,3.0324091987063
2020-04-16,3.34986019227047
2020-04-17,3.54189996123847
2020-04-18,2.50713187414496
2020-04-19,2.05766021969052
2020-04-20,1.67315403458947
2020-04-21,1.1554518860933
2020-04-22,1.06701751483088
2020-04-23,1.10698021633555
2020-04-24,0.808563701544159
2020-04-25,0.720523543926621
2020-04-26,0.712464872719237
2020-04-27,0.857930975987744
2020-04-28,0.823747133649257
2020-04-29,0.675232615594466
2020-04-30,0.773563154725068
2020-05-01,0.781482842381759
2020-05-02,0.950656675593255
2020-05-03,1.05518707671907
2020-05-04,1.06809946406883
2020-05-05,1.09558313050099
2020-05-06,1.18279688997268
2020-05-07,0.963371488799975
2020-05-08,0.964106206942332
2020-05-09,1.11695288489678
2020-05-10,1.01437409677203
2020-05-11,1.09042160952318
2020-05-12,0.882236819710385
2020-05-13,0.800621641136077
2020-05-14,0.688503160710659
2020-05-15,0.530696621999475
2020-05-16,0.727946571516203
2020-05-17,0.744879390923636
2020-05-18,0.803623464411672
2020-05-19,0.986657530604661
2020-05-20,0.986657530604661
2020-05-21,0.986657530604661
2020-05-22,0.986657530604661
2020-05-23,0.986657530604661
